request,VA respond
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"slow down","Car has been slowing down."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"slow down","Car has been slowing down."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is30.0."
"slow down","Car has been slowing down."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is24.0."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
"text","EMERGENCY ALERT!"
"jarvis","I'm listening Sir."
"change lane","Lane changing has been activating."
"text2","speed is28.8."
"slow down","Car has been slowing down."
"speed up","Car has been speeding up."
